Region,"Population (000, 2021)","Pop. density (per km2, 2021)",Capital city,"Capital city pop. (000, 2021)",UN membership date,Surface area (km2),Sex ratio (m per 100 f),National currency,Exchange rate (per US$),Country
Southern Asia,39 835a,61a,Kabul,4 114.0b,19-Nov-46,652 864b,105.3a,Afghani (AFN),77.1c,Afghanistan
Southern Europe,2 873a,104.9a,Tirana,484.6b,14-Dec-55,28 748b,103.6a,Lek (ALL),100.8c,Albania
Northern Africa,44 617a,18.7a,Algiers,"2 729.3c,b",08-Oct-62,2 381 741b,102.1a,Algerian Dinar (DZD),132.1d,Algeria
Polynesia,55a,275.5a,Pago Pago,48.5c,,199b,,US Dollar (USD),,American Samoa
Southern Europe,77a,164.6a,Andorra la Vella,22.6c,28-Jul-93,468b,,Euro (EUR),0.8d,Andorra
Middle Africa,33 934a,27.2a,Luanda,"8 044.7c,b",01-Dec-76,1 246 700b,97.9a,Kwanza (AOA),656.2d,Angola
Caribbean,15a,168.1a,The Valley,1.4d,,91b,,E. Caribbean Dollar (XCD)c,2.7e,Anguilla
Caribbean,99a,224.4a,Saint John's,20.8d,11-Nov-81,442b,93.4a,E. Caribbean Dollar (XCD)c,2.7e,Antigua and Barbuda
South America,45 606a,16.7a,Buenos Aires,"15 057.3d,c",24-Oct-45,"2 796 427b,c",95.3a,Argentine Peso (ARS),84e,Argentina
Western Asia,2 968a,104.3a,Yerevan,1 083.3b,02-Mar-92,29 743b,88.8a,Armenian Dram (AMD),522.6c,Armenia
Caribbean,107a,595.5a,Oranjestad,29.9c,,180b,90.2a,Aruban Florin (AWG),1.8d,Aruba
Oceania,"25 788a,b","3.4a,b",Canberra,"452.5e,d",01-Nov-45,"7 692 024c,d","99.2a,b",Australian Dollar (AUD),1.3f,Australia
Western Europe,9 043a,109.7a,Vienna,1 915.3b,14-Dec-55,83 878b,97.4a,Euro (EUR),0.8c,Austria
Western Asia,"10 223a,b","123.7a,b",Baku,"2 313.1d,c",02-Mar-92,86 600c,"99.9a,b",Azerbaijan manat (AZN),1.7e,Azerbaijan
Caribbean,397a,39.7a,Nassau,279.7c,18-Sep-73,13 940b,94.6a,Bahamian Dollar (BSD),1d,Bahamas
Western Asia,1 748a,2 300.4a,Manama,"600.4c,b",21-Sep-71,778b,184.5a,Bahraini Dinar (BHD),0.4d,Bahrain
Southern Asia,166 304a,1 277.6a,Dhaka,"20 283.6c,b",17-Sep-74,148 460b,102.1a,Taka (BDT),84.8d,Bangladesh
Caribbean,288a,669.1a,Bridgetown,89.2c,09-Dec-66,431b,93.9a,Barbados Dollar (BBD),2d,Barbados
Eastern Europe,9 443a,46.5a,Minsk,"2 016.7c,b",24-Oct-45,207 600b,87.2a,Belarusian Ruble (BYN),2.6d,Belarus
Western Europe,11 632a,384.2a,Brussels,"2 065.3c,b",27-Dec-45,30 528b,98.4a,Euro (EUR),0.8d,Belgium
Central America,405a,17.8a,Belmopan,23c,25-Sep-81,22 965b,98.8a,Belize Dollar (BZD),2d,Belize
Western Africa,12 451a,110.4a,Porto-Novoc,285.3e,20-Sep-60,114 763b,99.8a,"CFA Franc, BCEAO (XOF)d",534.6f,Benin
Northern America,62a,1 241.8a,Hamilton,10.1c,,54b,,Bermudian Dollar (BMD),1d,Bermuda
Southern Asia,780a,20.5a,Thimphu,203.3c,21-Sep-71,38 394b,113.7a,Ngultrum (BTN),73d,Bhutan
South America,11 833a,10.9a,Sucred,277.9e,14-Nov-45,"1 098 581b,c",100.7a,Boliviano (BOB),6.9f,Bolivia (Plurinational State of)
Caribbean,26a,80.6a,Kralendijk,"11.3b,c",,,,US Dollar (USD),,"Bonaire, Sint Eustatius and Saba"
Southern Europe,3 264a,64a,Sarajevo,"342.7c,b",22-May-92,51 209b,95.9a,Convertible Mark (BAM),1.6d,Bosnia and Herzegovina
Southern Africa,2 397a,4.2a,Gaborone,269.3c,17-Oct-66,582 000b,94.2a,Pula (BWP),10.8d,Botswana
South America,213 993a,25.6a,Brasilia,"4 559.0c,b",24-Oct-45,8 515 767b,96.5a,Brazilian Real (BRL),5.2d,Brazil
Caribbean,30a,202.8a,Road Town,15.1c,,151b,,US Dollar (USD),,British Virgin Islands
South-eastern Asia,442a,83.8a,Bandar Seri Begawan,40.8c,21-Sep-84,5 765b,107.7a,Brunei Dollar (BND),1.3d,Brunei Darussalam
Eastern Europe,6 897a,63.5a,Sofia,1 276.9b,14-Dec-55,110 372b,94.4a,Bulgarian Lev (BGN),1.6c,Bulgaria
Western Africa,21 497a,78.6a,Ouagadougou,2 652.7b,20-Sep-60,272 967b,100a,"CFA Franc, BCEAO (XOF)c",534.6d,Burkina Faso
Eastern Africa,12 255a,477.2a,Gitega,899c,18-Sep-62,27 834b,98.5a,Burundi Franc (BIF),1 946.4d,Burundi
Western Africa,562a,139.4a,Praia,167.5c,16-Sep-75,4 033b,100.8a,Cabo Verde Escudo (CVE),89.8d,Cabo Verde
South-eastern Asia,16 946a,96a,Phnom Penh,"2 014.0c,b",14-Dec-55,181 035b,95.4a,Riel (KHR),4 076.5d,Cambodia
Middle Africa,27 224a,57.6a,Yaoundé,3 822.4b,20-Sep-60,475 650b,100.1a,"CFA Franc, BEAC (XAF)c",534.6d,Cameroon
Northern America,38 068a,4.2a,Ottawa,"1 378.2c,b",09-Nov-45,9 984 670b,98.6a,Canadian Dollar (CAD),1.3d,Canada
Caribbean,66a,277.1a,George Town,34.9c,,264b,,Cayman Islands Dollar (KYD),0.8d,Cayman Islands
Middle Africa,4 920a,7.9a,Bangui,869.6b,20-Sep-60,622 984b,98.3a,"CFA Franc, BEAC (XAF)c",534.6d,Central African Republic
Middle Africa,16 915a,13.4a,N'Djamena,1 371.5b,20-Sep-60,1 284 000b,99.7a,"CFA Franc, BEAC (XAF)c",534.6d,Chad
Northern Europe,"175a,b","922.3a,b",Saint Heliere,34.4f,,"180c,d","98.1a,b",Pound Sterling (GBP),0.8g,Channel Islands
South America,19 212a,25.8a,Santiago,"6 723.5c,b",24-Oct-45,756 102b,97.3a,Chilean Peso (CLP),729d,Chile
Eastern Asia,"1 444 216a,b","153.8a,b",Beijing,"20 035.5d,c",24-Oct-45,9 600 000c,"105.2a,b",Yuan Renminbi (CNY),"6.5b,e",China
Eastern Asia,7 553a,7 193.1a,Hong Kong,"7 490.8c,b",,1 107b,84.5a,Hong Kong Dollar (HKD),7.8d,"China, Hong Kong SAR"
Eastern Asia,658a,22 019.8a,Macao,642.1c,,"33b,c",92.6a,Pataca (MOP),8d,"China, Macao SAR"
South America,51 266a,46.2a,Bogota,"10 779.4c,b",05-Nov-45,1 141 748b,96.5a,Colombian Peso (COP),3 444.9d,Colombia
Eastern Africa,888a,477.4a,Moroni,62.4c,12-Nov-75,2 235b,101.8a,Comorian Franc (KMF),400.9d,Comoros
Middle Africa,5 657a,16.6a,Brazzaville,2 308.1b,20-Sep-60,342 000b,99.9a,"CFA Franc, BEAC (XAF)c",534.6d,Congo
Polynesia,18a,73.2a,Avarua,"13.1d,e",,"236b,c",,New Zealand Dollar (NZD),1.4f,Cook Islands
Central America,5 139a,100.6a,San José,"1 378.5c,b",02-Nov-45,51 100b,99.8a,Costa Rican Colon (CRC),613.9d,Costa Rica
Southern Europe,4 082a,72.9a,Zagreb,"685.2c,b",22-May-92,56 594b,93.2a,Kuna (HRK),6.1d,Croatia
Caribbean,11 318a,106.3a,Havana,2 138.4b,24-Oct-45,109 884b,98.6a,Cuban Peso (CUP)c,"1d,e",Cuba
Caribbean,165a,371.2a,Willemstad,"144d,e",,444b,85.3a,Neth. Ant. Guilder (ANG)c,1.8f,Curaçao
Western Asia,"1 216a,b","131.6a,b",Nicosia,269.5d,20-Sep-60,9 251c,"99.9a,b",Euro (EUR),0.8e,Cyprus
Eastern Europe,10 725a,138.8a,Prague,1 298.8b,19-Jan-93,78 871b,97.1a,Czech Koruna (CZK),21.4c,Czechia
Western Africa,27 054a,85.1a,Yamoussoukroc,231.1e,20-Sep-60,322 462b,101.6a,"CFA Franc, BCEAO (XOF)d",534.6f,Côte d’Ivoire
Eastern Asia,25 887a,215a,Pyongyang,3 060.9b,17-Sep-91,120 538b,95.7a,North Korean Won (KPW),"103c,d",Democratic People's Republic of Korea
Middle Africa,92 378a,40.7a,Kinshasa,13 743.3b,20-Sep-60,2 344 858b,99.7a,Congolese Franc (CDF),1 971.8c,Democratic Republic of the Congo
Northern Europe,"5 813a,b","137a,b",Copenhagen,"1 333.9e,d",24-Oct-45,"42 934c,d","98.8a,b",Danish Krone (DKK),6.1f,Denmark
Eastern Africa,1 002a,43.2a,Djibouti,"568.8c,b",20-Sep-77,23 200b,110.4a,Djibouti Franc (DJF),177.7d,Djibouti
Caribbean,72a,96.2a,Roseau,14.9d,18-Dec-78,750b,,E. Caribbean Dollar (XCD)c,2.7e,Dominica
Caribbean,10 954a,226.7a,Santo Domingo,"3 245.0c,b",24-Oct-45,48 671b,99.7a,Dominican Peso (DOP),58.3d,Dominican Republic
South America,17 888a,72a,Quito,1 847.7b,21-Dec-45,257 217b,100a,US Dollar (USD),,Ecuador
Northern Africa,104 258a,104.7a,Cairo,"20 485.0c,b",24-Oct-45,1 002 000b,102.1a,Egyptian Pound (EGP),15.7d,Egypt
Central America,6 518a,314.6a,San Salvador,"1 105.7d,c",24-Oct-45,"21 041b,c",87.9a,US Dollar (USD),,El Salvador
Middle Africa,1 450a,51.7a,Malabo,296.8d,12-Nov-68,28 052b,125.4a,"CFA Franc, BEAC (XAF)c",534.6e,Equatorial Guinea
Eastern Africa,3 602a,35.7a,Asmara,928.8b,28-May-93,121 144b,100.5a,Nakfa (ERN),15.1c,Eritrea
Northern Europe,1 325a,31.3a,Tallinn,441.3b,17-Sep-91,45 261b,90.3a,Euro (EUR),0.8c,Estonia
Southern Africa,1 172a,68.2a,Mbabanec,"68c,d",24-Sep-68,17 363b,97a,Lilangeni (SZL),14.6e,Eswatini
Eastern Africa,117 876a,117.9a,Addis Ababa,4 592.0b,13-Nov-45,1 104 300b,100.1a,Ethiopian Birr (ETB),39.2c,Ethiopia
South America,"4a,b","0.3a,b",Stanley,"2.3c,e",,"12 173c,d",,Falkland Islands Pound (FKP),,Falkland Islands (Malvinas)
Northern Europe,49a,35.1a,Tórshavn,20.8c,,1 393b,,Danish Krone (DKK),6.1d,Faroe Islands
Melanesia,903a,49.4a,Suva,178.3c,13-Oct-70,18 272b,102.5a,Fiji Dollar (FJD),2d,Fiji
Northern Europe,"5 548a,b","18.3a,b",Helsinki,1 292.2d,14-Dec-55,"336 872c,d","97.4a,b",Euro (EUR),0.8e,Finland
Western Europe,65 426a,119.5a,Paris,10 958.2b,24-Oct-45,551 500b,93.8a,Euro (EUR),0.8c,France
South America,306a,3.7a,Cayenne,57.5c,,83 534b,98a,Euro (EUR),0.8d,French Guiana
Polynesia,282a,77.2a,Papeete,"136e,f",,"3 687b,c",102.5a,CFP Franc (XPF)d,97.2g,French Polynesia
Middle Africa,2 279a,8.8a,Libreville,823.9b,20-Sep-60,267 668b,103.6a,"CFA Franc, BEAC (XAF)c",534.6d,Gabon
Western Africa,2 487a,245.7a,Banjul,"443.4c,b",21-Sep-65,11 295b,98.4a,Dalasi (GMD),51.6d,Gambia
Western Asia,"3 980a,b","57.3a,b",Tbilisi,1 077.3c,31-Jul-92,69 700c,"91a,b",Lari (GEL),3.3d,Georgia
Western Europe,83 900a,240.7a,Berlin,3 556.8b,18-Sep-73,357 582b,97.9a,Euro (EUR),0.8c,Germany
Western Africa,31 732a,139.5a,Accra,2 475.2b,08-Mar-57,238 537b,102.8a,Ghana Cedi (GHS),5.8c,Ghana
Southern Europe,34a,3 369.1a,Gibraltar,34.7c,,6b,,Gibraltar Pound (GIP),0.8d,Gibraltar
Southern Europe,10 371a,80.5a,Athens,"3 154.2c,b",25-Oct-45,131 957b,96.4a,Euro (EUR),0.8d,Greece
Northern America,57a,0.1a,Nuuk,18.4c,,2 166 086b,,Danish Krone (DKK),6.1d,Greenland
Caribbean,113a,332.4a,Saint George's,"39.3d,e",17-Sep-74,345b,101.4a,E. Caribbean Dollar (XCD)c,2.7f,Grenada
Caribbean,400a,245.7a,Basse-Terre,58.4c,,1 639b,85.5a,Euro (EUR),0.8d,Guadeloupe
Micronesia,170a,315.2a,Hagåtña,146.9c,,541b,101.7a,US Dollar (USD),,Guam
Central America,18 250a,170.3a,Guatemala City,2 891.2b,21-Nov-45,108 889b,97.2a,Quetzal (GTQ),7.8c,Guatemala
Western Africa,13 497a,54.9a,Conakry,1 889.2b,12-Dec-58,245 836b,94a,Guinean Franc (GNF),9 400.8b,Guinea
Western Africa,2 016a,71.7a,Bissau,578.8b,17-Sep-74,36 125b,95.9a,"CFA Franc, BCEAO (XOF)c",534.6d,Guinea-Bissau
South America,790a,4a,Georgetown,109.9c,20-Sep-66,214 969b,101.3a,Guyana Dollar (GYD),208.5d,Guyana
Caribbean,11 542a,418.8a,Port-au-Prince,2 704.2b,24-Oct-45,27 750b,97.4a,Gourde (HTG),72.2c,Haiti
Southern Europe,"1a,b","1 845.5a,b",Vatican City,0.8e,,"~0c,d",,Euro (EUR),0.8f,Holy See
Central America,10 063a,89.9a,Tegucigalpa,1 403.2b,17-Dec-45,112 492b,99.9a,Lempira (HNL),24.1c,Honduras
Eastern Europe,9 634a,106.4a,Budapest,1 763.9b,14-Dec-55,93 023b,90.9a,Forint (HUF),297.4c,Hungary
Northern Europe,343a,3.4a,Reykjavik,216.4c,19-Nov-46,103 000b,101a,Iceland Krona (ISK),127.2d,Iceland
Southern Asia,1 393 409a,468.7a,New Delhi,"29 399.1c,b",30-Oct-45,3 287 263b,108.1a,Indian Rupee (INR),73d,India
South-eastern Asia,276 362a,152.6a,Jakarta,"10 638.7c,b",28-Sep-50,1 910 931b,101.4a,Rupiah (IDR),14 105.0d,Indonesia
Southern Asia,85 029a,52.2a,Tehran,9 013.7c,24-Oct-45,"1 628 777b,c",101.9a,Iranian Rial (IRR),42 000.0d,Iran (Islamic Republic of)
Western Asia,41 179a,94.8a,Baghdad,6 974.4b,21-Dec-45,435 052b,102.5a,Iraqi Dinar (IQD),1 450.0c,Iraq
Northern Europe,4 983a,72.3a,Dublin,1 214.7b,14-Dec-55,69 825b,98.7a,Euro (EUR),0.8c,Ireland
Northern Europe,85a,149.8a,Douglas,27.2c,,572b,,Pound Sterling (GBP),0.8d,Isle of Man
Western Asia,8 790a,406.2a,Jerusalemc,"919.4d,b",11-May-49,22 072b,99.2a,New Israeli Sheqel (ILS),3.2e,Israel
Southern Europe,60 368a,205.2a,Rome,"4 234.0c,b",14-Dec-55,302 069b,95a,Euro (EUR),0.8d,Italy
Caribbean,2 974a,274.6a,Kingston,589.8b,18-Sep-62,10 990b,98.5a,Jamaican Dollar (JMD),141.7c,Jamaica
Eastern Asia,126 051a,345.8a,Tokyo,"37 435.2d,c",18-Dec-56,"377 930b,c",95.4a,Yen (JPY),103.6e,Japan
Western Asia,10 269a,115.7a,Amman,2 108.5b,14-Dec-55,89 318b,102.6a,Jordanian Dinar (JOD),0.7c,Jordan
Central Asia,18 995a,7a,Nur-Sultan,1 117.6b,02-Mar-92,2 724 902b,94.4a,Tenge (KZT),420.9c,Kazakhstan
Eastern Africa,54 986a,96.6a,Nairobi,4 556.4b,16-Dec-63,591 958b,98.8a,Kenyan Shilling (KES),109.2c,Kenya
Micronesia,121a,149.9a,Bairiki,3.2d,14-Sep-99,"726b,c",96.8a,Australian Dollar (AUD),1.3e,Kiribati
Western Asia,4 329a,242.9a,Kuwait City,"3 052.5c,b",14-May-63,17 818b,158.5a,Kuwaiti Dinar (KWD),0.3d,Kuwait
Central Asia,6 628a,34.6a,Bishkek,1 017.2b,02-Mar-92,199 949b,97.9a,Som (KGS),82.6c,Kyrgyzstan
